epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,85.6918,1.26895,0.68908,0.87711,0.91393,0.61176,0.64446,0.35045,1.51537,0.66785,0.88929,0.000528058,0.000528058,0.000528058
55,87.3136,1.29479,0.6889,0.88891,0.90465,0.61749,0.64566,0.36915,1.41655,0.65326,0.87072,0.000517059,0.000517059,0.000517059
56,88.8435,1.29965,0.70533,0.88297,0.93878,0.61163,0.66325,0.37873,1.39595,0.65576,0.87515,0.00050606,0.00050606,0.00050606
57,90.471,1.29328,0.70023,0.88522,0.91737,0.62509,0.67693,0.38284,1.39167,0.65284,0.87458,0.000495062,0.000495062,0.000495062
58,92.0653,1.29271,0.68869,0.8824,0.92143,0.59366,0.67952,0.38191,1.42389,0.63931,0.87721,0.000484063,0.000484063,0.000484063
59,93.5882,1.30451,0.6982,0.88067,0.92385,0.60049,0.66984,0.38661,1.33241,0.63101,0.86514,0.000473064,0.000473064,0.000473064
60,95.1253,1.26044,0.66637,0.87467,0.89031,0.61985,0.67234,0.39051,1.35482,0.6291,0.86773,0.000462065,0.000462065,0.000462065
61,96.727,1.26289,0.66764,0.87309,0.90312,0.62826,0.67296,0.37782,1.35392,0.62052,0.87012,0.000451066,0.000451066,0.000451066
62,98.2986,1.2657,0.66938,0.87441,0.88917,0.61285,0.64319,0.36946,1.39542,0.62099,0.87291,0.000440067,0.000440067,0.000440067
63,99.8658,1.2601,0.67977,0.88099,0.89615,0.61689,0.6433,0.37894,1.37731,0.63131,0.86723,0.000429068,0.000429068,0.000429068
64,101.412,1.26843,0.67713,0.87626,0.91086,0.63182,0.6506,0.3787,1.35123,0.63526,0.86618,0.000418069,0.000418069,0.000418069
65,102.93,1.28183,0.67332,0.87885,0.89502,0.61598,0.64157,0.37202,1.37917,0.63944,0.86945,0.00040707,0.00040707,0.00040707
66,104.455,1.2791,0.67644,0.87347,0.93031,0.58975,0.64056,0.36655,1.40762,0.64763,0.87386,0.000396071,0.000396071,0.000396071
67,105.965,1.26145,0.67114,0.87083,0.92168,0.61569,0.67976,0.38779,1.36838,0.61946,0.8745,0.000385073,0.000385073,0.000385073
68,107.532,1.26709,0.67019,0.86964,0.91506,0.58491,0.67177,0.39518,1.36447,0.6221,0.87232,0.000374074,0.000374074,0.000374074
69,109.064,1.22186,0.64593,0.87021,0.59367,0.7612,0.71314,0.40145,1.37526,0.62625,0.87172,0.000363075,0.000363075,0.000363075
70,110.589,1.24037,0.6531,0.86916,0.65879,0.82539,0.72663,0.39673,1.37564,0.61928,0.8714,0.000352076,0.000352076,0.000352076
71,112.155,1.26288,0.65545,0.86933,0.62137,0.72206,0.71945,0.39528,1.46477,0.63845,0.88428,0.000341077,0.000341077,0.000341077
72,113.683,1.23925,0.64935,0.87292,0.90291,0.6047,0.69224,0.38071,1.41671,0.6359,0.87783,0.000330078,0.000330078,0.000330078
73,115.205,1.25684,0.6552,0.87055,0.92729,0.59946,0.65749,0.37702,1.43685,0.63946,0.87907,0.000319079,0.000319079,0.000319079
